goal,target,indicator,seriesCode,seriesDesc,release,geoAreaCode,geoAreaName,parentCode,parentName,type,ISO3,UN_Member,X,Y,basePeriod,unitsCode,unitsDesc,unitmultiplierCode,unitmultiplierDesc,reportingTypeCode,reportingTypeDesc,valueDetails,footnotes,sources,timeDetails,nature,value_2000,value_2005,value_2010,value_2015,value_latest_year,latest_year,ObjectId
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,408,Democratic People's Republic of Korea,30,Eastern Asia,Country,PRK,1,127.1803633,40.1462645,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,6933,6299,5666,5031,5031,2015,123
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,410,Republic of Korea,30,Eastern Asia,Country,KOR,1,127.8610254,36.45201023,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,6288,6255,6222,6184,6184,2015,124
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,414,Kuwait,145,Western Asia,Country,KWT,1,47.49305029,29.53949468,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,4.85,5.55,6.25,6.25,6.25,2015,125
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,417,Kyrgyzstan,143,Central Asia,Country,KGZ,1,74.52324839,41.46204516,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,858.3,869.3,677,637,637,2015,126
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,418,Lao People's Democratic Republic,35,South-Eastern Asia,Country,LAO,1,101.9901968,20.27482773,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,16525.99,16869.71,17815.56,18761.41,18761.41,2015,127
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,422,Lebanon,145,Western Asia,Country,LBN,1,35.89391711,33.92152458,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,131,136.5,136.9,137.3,137.3,2015,128
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,426,Lesotho,18,Southern Africa,Country,LSO,1,28.25362195,-29.58041814,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,42,43,44,49,49,2015,129
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,428,Latvia,154,Northern Europe,Country,LVA,1,26.42461876,56.64196636,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,3241,3297,3354,3356,3356,2015,130
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,430,Liberia,11,Western Africa,Country,LBR,1,-9.311879038,6.448381009,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,4629,4479,4329,4179,4179,2015,131
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,434,Libya,15,Northern Africa,Country,LBY,1,18.0295985,27.04042819,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,217,217,217,217,217,2015,132
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,466,Mali,11,Western Africa,Country,MLI,1,-3.522016039,17.35311254,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,5900,5505,5110,4715,4715,2015,133
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,470,Malta,39,Southern Europe,Country,MLT,1,14.44617519,35.89194275,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,0.347,0.347,0.347,0.347,0.347,2015,134
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,474,Martinique,29,Caribbean,Country,MTQ,0,-60.91544135,14.56086108,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,48.5,48.5,48.5,48.5,48.5,2015,135
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,478,Mauritania,11,Western Africa,Country,MRT,1,-10.33187259,20.26089546,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,317,267,242,224.5,224.5,2015,136
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,480,Mauritius,14,Eastern Africa,Country,MUS,1,57.568022,-20.28581998,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,41.9,38.2,38.4,38.6,38.6,2015,137
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,484,Mexico,13,Central America,Country,MEX,1,-102.5148166,23.93378032,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,67856,67083,66498,66040,66040,2015,138
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,492,Monaco,155,Western Europe,Country,MCO,1,7.424214814,43.73532918,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,0,0,0,0,0,2015,139
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,496,Mongolia,30,Eastern Asia,Country,MNG,1,103.0728057,46.83892054,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,11717,11308,13039.2,12552.8,12552.8,2015,140
